Population by age group, sex and NUTS 3 region;NUTS3;demo_r_pjangrp3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjangrp3?format=JSON&geo=SI044&unit=NR&sex=T&sex=M&sex=F&age=TOTAL&age=Y_LT5&age=Y5-9&age=Y10-14&age=Y15-19&age=Y20-24&age=Y25-29&age=Y30-34&age=Y35-39&age=Y40-44&age=Y45-49&age=Y50-54&age=Y55-59&age=Y60-64&age=Y65-69&age=Y70-74&age=Y75-79&age=Y80-84&age=Y85-89&age=Y_GE85&age=Y_GE90&age=UNK&lang=en 
Population by broad age group, sex and NUTS 3 region;NUTS3;demo_r_pjanaggr3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjanaggr3?format=JSON&geo=SI044&unit=NR&sex=T&sex=M&sex=F&age=TOTAL&age=Y_LT15&age=Y15-64&age=Y_GE65&age=UNK&lang=en 
Population density by NUTS 3 region;NUTS3;demo_r_d3dens;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_d3dens?format=JSON&geo=SI044&unit=PER_KM2&lang=en 
Population structure indicators by NUTS 3 region;NUTS3;demo_r_pjanind3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_pjanind3?format=JSON&geo=SI044&unit=YR&unit=PC&indic_de=DEPRATIO1&indic_de=DEPRATIO2&indic_de=DEPRATIO3&indic_de=DEPRATIO4&indic_de=FMEDAGEPOP&indic_de=MEDAGEPOP&indic_de=MMEDAGEPOP&indic_de=OLDDEP1&indic_de=OLDDEP2&indic_de=OLDDEP3&indic_de=OLDDEP4&indic_de=PC_FM&indic_de=PC_Y0_14&indic_de=PC_Y0_18&indic_de=PC_Y0_19&indic_de=PC_Y0_4&indic_de=PC_Y10_14&indic_de=PC_Y15_19&indic_de=PC_Y15_24&indic_de=PC_Y15_29&indic_de=PC_Y15_74&indic_de=PC_Y20_24&indic_de=PC_Y20_39&indic_de=PC_Y20_64&indic_de=PC_Y25_29&indic_de=PC_Y25_44&indic_de=PC_Y25_49&indic_de=PC_Y30_34&indic_de=PC_Y35_39&indic_de=PC_Y40_44&indic_de=PC_Y40_59&indic_de=PC_Y45_49&indic_de=PC_Y45_64&indic_de=PC_Y50_54&indic_de=PC_Y50_64&indic_de=PC_Y55_59&indic_de=PC_Y5_9&indic_de=PC_Y60_64&indic_de=PC_Y60_79&indic_de=PC_Y60_MAX&indic_de=PC_Y65_69&indic_de=PC_Y65_79&indic_de=PC_Y65_MAX&indic_de=PC_Y70_74&indic_de=PC_Y75_79&indic_de=PC_Y75_MAX&indic_de=PC_Y80_84&indic_de=PC_Y80_MAX&indic_de=PC_Y85_MAX&indic_de=PC_Y100_MAX&indic_de=YOUNGDEP1&indic_de=YOUNGDEP2&indic_de=YOUNGDEP3&indic_de=YOUNGDEP4&lang=en 
Population change - Demographic balance and crude rates at regional level (NUTS 3);NUTS3;demo_r_gind3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_gind3?format=JSON&geo=SI044&indic_de=CNMIGRAT&indic_de=CNMIGRATRT&indic_de=DEATH&indic_de=GBIRTHRT&indic_de=GDEATHRT&indic_de=GROW&indic_de=GROWRT&indic_de=JAN&indic_de=LBIRTH&indic_de=NATGROW&indic_de=NATGROWRT&lang=en 
Live births (total) by NUTS 3 region ;NUTS3;demo_r_births;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_births?format=JSON&geo=SI044&unit=NR&lang=en 
Live births by age group of the mothers and NUTS 3 region ;NUTS3;demo_r_fagec3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_fagec3?format=JSON&geo=SI044&unit=NR&unit=NR&age=TOTAL&age=Y10-14&age=Y15-19&age=Y_LT20&age=Y20-24&age=Y25-29&age=Y30-34&age=Y35-39&age=Y40-44&age=Y45-49&age=Y_GE45&age=Y_GE50&age=UNK&lang=en 
Fertility indicators by NUTS 3 region ;NUTS3;demo_r_find3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_find3?format=JSON&geo=SI044&unit=NR&unit=YR&indic_de=AGEMOTH&indic_de=MEDAGEMOTH&indic_de=TOTFERRT&lang=en 
Deaths (total) by NUTS 3 region ;NUTS3;demo_r_deaths;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/demo_r_deaths?format=JSON&geo=SI044&unit=NR&unit=NR&lang=en 
Population by country of citizenship, age groups and NUTS 3 region, 2021 ;NUTS3;cens_21ctz_r3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/cens_21ctz_r3?format=JSON&geo=SI044&unit=NR&citizen=BE&citizen=BG&citizen=CZ&citizen=DK&citizen=DE&citizen=EE&citizen=IE&citizen=EL&citizen=ES&citizen=FR&citizen=HR&citizen=IT&citizen=CY&citizen=LV&citizen=LT&citizen=LU&citizen=HU&citizen=MT&citizen=NL&citizen=AT&citizen=PL&citizen=PT&citizen=RO&citizen=SI&citizen=SK&citizen=FI&citizen=SE&citizen=EU_FOR&citizen=IS&citizen=LI&citizen=NO&citizen=CH&citizen=UK&citizen=BA&citizen=ME&citizen=MD&citizen=MK&citizen=GE&citizen=AL&citizen=RS&citizen=TR&citizen=UA&citizen=XK&citizen=AD&citizen=BY&citizen=VA&citizen=MC&citizen=RU&citizen=SM&citizen=NEU&citizen=EUR_NEU&citizen=EUR_OTH&citizen=AFR&citizen=AO&citizen=CM&citizen=CF&citizen=TD&citizen=CG&citizen=CD&citizen=GQ&citizen=GA&citizen=ST&citizen=BI&citizen=KM&citizen=DJ&citizen=ER&citizen=ET&citizen=KE&citizen=MG&citizen=MW&citizen=MU&citizen=MZ&citizen=RW&citizen=SC&citizen=SO&citizen=UG&citizen=TZ&citizen=ZM&citizen=ZW&citizen=DZ&citizen=EG&citizen=LY&citizen=MA&citizen=SS&citizen=SD&citizen=TN&citizen=EH&citizen=BW&citizen=LS&citizen=NA&citizen=ZA&citizen=SZ&citizen=BJ&citizen=BF&citizen=CV&citizen=CI&citizen=GM&citizen=GH&citizen=GN&citizen=GW&citizen=LR&citizen=ML&citizen=MR&citizen=NE&citizen=NG&citizen=SN&citizen=SL&citizen=TG&citizen=AFR_OTH&citizen=AME_N&citizen=CA&citizen=US&citizen=AME_N_OTH&citizen=AME_X_N&citizen=AG&citizen=AW&citizen=BS&citizen=BB&citizen=CU&citizen=CW&citizen=DM&citizen=DO&citizen=GD&citizen=HT&citizen=JM&citizen=KN&citizen=LC&citizen=VC&citizen=SX&citizen=TT&citizen=BZ&citizen=CR&citizen=SV&citizen=GT&citizen=HN&citizen=MX&citizen=NI&citizen=PA&citizen=AR&citizen=BO&citizen=BR&citizen=CL&citizen=CO&citizen=EC&citizen=GY&citizen=PY&citizen=PE&citizen=SR&citizen=UY&citizen=VE&citizen=AME_X_N_OTH&citizen=ASI&citizen=KZ&citizen=KG&citizen=TJ&citizen=TM&citizen=UZ&citizen=CN&citizen=JP&citizen=MN&citizen=KP&citizen=KR&citizen=TW&citizen=AF&citizen=BD&citizen=BT&citizen=IN&citizen=IR&citizen=MV&citizen=NP&citizen=PK&citizen=LK&citizen=BN&citizen=KH&citizen=ID&citizen=LA&citizen=MY&citizen=MM&citizen=PH&citizen=SG&citizen=TH&citizen=TL&citizen=VN&citizen=AM&citizen=AZ&citizen=BH&citizen=IQ&citizen=IL&citizen=JO&citizen=KW&citizen=LB&citizen=PS&citizen=OM&citizen=QA&citizen=SA&citizen=SY&citizen=AE&citizen=YE&citizen=ASI_OTH&citizen=OCE&citizen=AU&citizen=NZ&citizen=FJ&citizen=PG&citizen=SB&citizen=VU&citizen=KI&citizen=MH&citizen=FM&citizen=NR&citizen=PW&citizen=WS&citizen=TO&citizen=TV&citizen=OCE_OTH&citizen=FOR&citizen=NAT&citizen=RNC&citizen=STLS&citizen=TOTAL&citizen=UNK&sex=T&sex=M&sex=F&age=TOTAL&age=Y_LT5&age=Y5-9&age=Y10-14&age=Y_LT15&age=Y15-19&age=Y15-29&age=Y20-24&age=Y25-29&age=Y30-34&age=Y30-49&age=Y35-39&age=Y40-44&age=Y45-49&age=Y50-54&age=Y50-64&age=Y55-59&age=Y60-64&age=Y65-69&age=Y65-84&age=Y70-74&age=Y75-79&age=Y80-84&age=Y85-89&age=Y_GE85&age=Y90-94&age=Y95-99&age=Y_GE100&lang=en 
Population by country of citizenship, age groups, family status and NUTS 3 region, 2021 ;NUTS3;cens_21ctzf_r3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/cens_21ctzf_r3?format=JSON&geo=SI044&unit=NR&citizen=EU_FOR&citizen=NEU&citizen=FOR&citizen=NAT&citizen=STLS&citizen=TOTAL&citizen=UNK&hhstatus=TOTAL&hhstatus=CPL&hhstatus=PAR1&hhstatus=CH_PAR&hhstatus=NAP&hhstatus=UNK&sex=T&sex=M&sex=F&age=TOTAL&age=Y_LT5&age=Y5-9&age=Y10-14&age=Y_LT15&age=Y15-19&age=Y15-29&age=Y20-24&age=Y25-29&age=Y30-34&age=Y30-49&age=Y35-39&age=Y40-44&age=Y45-49&age=Y50-54&age=Y50-64&age=Y55-59&age=Y60-64&age=Y65-69&age=Y65-84&age=Y70-74&age=Y75-79&age=Y80-84&age=Y85-89&age=Y_GE85&age=Y90-94&age=Y95-99&age=Y_GE100&lang=en 
Population by country of citizenship, age groups, type of housing arrangements and NUTS 3 region, 2021 ;NUTS3;cens_21ctzha_r3;https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/cens_21ctzha_r3?format=JSON&geo=SI044&unit=NR&citizen=EU_FOR&citizen=NEU&citizen=EUR_NEU&citizen=AFR&citizen=AME_N&citizen=AME_X_N&citizen=ASI&citizen=OCE&citizen=FOR&citizen=NAT&citizen=STLS&citizen=TOTAL&citizen=UNK&housing=TOTAL&housing=H_CV&housing=DW&housing=CLQ&housing=H_NCV&housing=UNK&age=TOTAL&age=Y_LT5&age=Y5-9&age=Y10-14&age=Y_LT15&age=Y15-19&age=Y15-29&age=Y20-24&age=Y25-29&age=Y30-34&age=Y30-49&age=Y35-39&age=Y40-44&age=Y45-49&age=Y50-54&age=Y50-64&age=Y55-59&age=Y60-64&age=Y65-69&age=Y65-84&age=Y70-74&age=Y75-79&age=Y80-84&age=Y85-89&age=Y_GE85&age=Y90-94&age=Y95-99&age=Y_GE100&lang=en 
